noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
0.05,1.0,0.0,350,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,351,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,352,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,353,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,354,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,355,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,356,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,357,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,358,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,359,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,360,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,361,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,362,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,363,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,364,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,365,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,366,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,367,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,368,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,369,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,370,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,371,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,372,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,373,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,374,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,375,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,376,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,377,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,378,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,379,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,380,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,381,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,382,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,383,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,384,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,385,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,386,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,387,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,388,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,389,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,390,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,391,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,392,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,393,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,394,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,395,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,396,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,397,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,398,gsm8k,1,0,0.0,,,
