noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
1E-7,1.0,0.0,1,gsm8k,1,0,0.7,,,
0.03,1.0,0.0,1,gsm8k,1,0,0.6333333333333333,,,
0.04,1.0,0.0,1,gsm8k,1,0,0.6666666666666666,,,
0.05,1.0,0.0,1,gsm8k,1,0,0.5666666666666667,,,
0.06,1.0,0.0,1,gsm8k,1,0,0.03333333333333333,,,
0.07,1.0,0.0,1,gsm8k,1,0,0.0,,,
