sample_size,avg_max_accuracy,proportion_recovered
1,0.021733333333333316,0.031047619047619025
2,0.03936666666666665,0.05623809523809521
5,0.07089999999999998,0.10128571428571426
10,0.1040333333333333,0.14861904761904757
20,0.1319333333333333,0.18847619047619044
50,0.19169999999999998,0.27385714285714285
100,0.2543666666666667,0.3633809523809524
200,0.2941,0.42014285714285715
