sample_size,avg_max_accuracy,proportion_recovered
1,0.01663333333333332,0.023761904761904745
2,0.025833333333333312,0.03690476190476188
5,0.04276666666666664,0.061095238095238064
10,0.05336666666666663,0.07623809523809519
20,0.06596666666666665,0.09423809523809522
50,0.08246666666666666,0.11780952380952381
100,0.09230000000000001,0.13185714285714287
200,0.09833333333333334,0.1404761904761905
