noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
0.05,1.0,0.0,157,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,158,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,159,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,160,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,161,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,162,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,163,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,164,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,165,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,166,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,167,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,168,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,169,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,170,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,171,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,172,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,173,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,174,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,175,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,176,gsm8k,1,0,0.4,,,
0.05,1.0,0.0,177,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,178,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,179,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,180,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,181,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,182,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,183,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,184,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,185,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,186,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,187,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,188,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,189,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,190,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,191,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,192,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,193,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,194,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,195,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,196,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,197,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,198,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,199,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,200,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,201,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,202,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,203,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,204,gsm8k,1,0,0.0,,,
