sample_size,avg_max_accuracy,proportion_recovered
1,0.022099999999999988,0.031571428571428556
2,0.04143333333333331,0.05919047619047616
5,0.07299999999999997,0.10428571428571425
10,0.11713333333333328,0.16733333333333328
20,0.18413333333333326,0.263047619047619
50,0.2842,0.406
100,0.3491666666666666,0.49880952380952376
200,0.3874666666666667,0.5535238095238095
